,Unnamed: 0,contacted?,link,id,host,date,Availability,Year,Floor,LoyerNet,Charges,,Space,Street,Zip,City,Latitude,Longitude,chambre,séjour,cuisine,wc,hall,outdoors,cave,réduit,Entrée,stores,Description,TotalRent,NearestStop,TimeToNearestStop
443,443,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/comptoir-immobilier-lausanne-239/grand-appartement-35-pieces-idealement-situe-proche-axe-autoroutier-metro-m1-ligne-tl-371419
",371419,"Immobilier
",2020-02-23,avril 2020										</span>,-1,1,1980,285,2265,93,Route de Chavannes 68,1007,Lausanne,46.5268618,6.589449,2,1,2,2,1,2,0,0,0,0,"<p>Grand appartement de 3.5 pièces, idéalement situé proche de l'axe autoroutier, le métro M1 et la ligne TL. <br><br>Ascenseur.<br>Ce bel appartement lumineux dispose d'un hall d'entrée avec armoires intégrées, une salle de douche et une machine lavante/séchante, un séjour avec une cuisine ouverte et un bar, deux chambres à coucher, une spacieuse salle-de-bains ainsi qu'un balcon protégé. <br> <br> Une place de parc intérieure à CHF 140.00 est également à louer (possibilité d'en louer davantage).<br>Bon état, Balcon, Objet calme, Cuisine agencée et équipée.</p>",2265,Malley,6.239201907
448,448,GO TO VISITE,"https://www.immobilier.ch/fr/louer/appartement/vaud/ecublens/wincasa-siege-602/bel-appartement-louer-sein-construction-recente-372585
",372585,"Immobilier
",2020-02-23,maintenant										</span>,2011,2,1675,170,1845,74,Chemin de Champ-Colomb 1A,1024,Ecublens,46.5384861,6.571226,2,2,1,3,0,1,0,0,0,0,"<p>Ce logement situé dans un immeuble Minergie offre pour votre confort :<br><br>- Cuisine ouverte agencée<br>- Séjour<br>- 2 chambres à coucher <br>- Salle-de-bains/WC avec possibilité d'installer une colonne de lavage <br>- WC séparé<br>- Balcon <br><br>Une visite groupée aura lieu en date du lundi 24 février 2020 de 17h30 à 18h30, locataires ex. Marsala. <br><br>Possibilité de louer une place de parc intérieure en sus à Frs. 140.-/mois.<br><br>En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants:<br><br>- Demande de location (www.wincasa.ch)<br>- Copie de l'extrait de l'Office des poursuites (moins de 3 mois)<br>- Copie des trois dernières fiches de salaire<br>- Copie de la carte d'identité ou du permis de séjour</p>",1845,Epenex,3.167745211
449,449,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-pieces-5eme-etage-lausanne-372655
",372655,"Immobilier
",2020-02-23,juin 2020										</span>,-1,5,-1,180,,71,Avenue de Morges 70,1004,Lausanne,46.527031,6.6074331,2,0,1,1,1,1,0,0,0,0,"<p>Superbe appartement de 2 pièces qui se compose comme suit:<br>- spacieux hall d'entrée<br>- cuisine habitable<br>- grande salle de bains<br>- 2 chambre avec parquet<br>- balcon transversal avec vue sur le lac et les montagnes<br><br>Idéalement situé et proche de toutes les commodités.<br><br>Pour les visites, contactez le locataire actuel</p>",179,Provence,4.972522067
451,451,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/rudin-immobilier-sarl-1061/appartement-refait-neuf-centre-lausanne-face-arret-leb-372723
",372723,"Immobilier
",2020-02-23,maintenant										</span>,1930,3,1950,150,2100,79,,,-1,46.5297479,6.614,2,0,1,2,1,2,1,0,0,0,"<p>Dans magnifique immeuble des années 1930, sans ascenseur, ce beau 3.5 pièces au coeur de Lausanne en face du joli parc de Valency et de l'arrêt du LEB est refait à neuf et possède beaucoup de cachet.<br>Il se compose comme suit :<br>Hall d'entrée<br>Chambre à coucher avec armoires murales et accès balcon<br>Chambre à coucher<br>Salle de bains/WC<br>Cuisine ouverte entièrement agencée avec de nombreux rangements<br>Salon avec accès balcon<br><br>Annexes :<br>cave<br>Buanderie commune<br>Place de parc extérieure possible à CHF 90.-/mois ou possibilité de prendre un abonnement avec la commune de Lausanne<br><br>Loyer brut : CHF 2'100.-</p>",2100,Vigie,8.279356376
463,463,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-373443
",373443,"Immobilier
",2020-02-23,août 2020										</span>,2020,6,1850,-1,,69,Place de la Gare,1020,Renens,46.5365624,6.5789841,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 6° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 26,3m2<br>- Cuisine ouverte et entièrement agencée avec lave-vaisselle<br>- Salle de douche avec douche italienne<br>- Une spacieuse chambre à coucher de 16m2 avec armoires murales<br>- Une autre chambre à coucher de 11,6m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 1'850.-<br>- Charges: CHF 200.-<br>- Total: CHF 2'050.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",1849,Renens,0.5357941563
471,471,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-373907
",373907,"Immobilier
",2020-02-23,août 2020										</span>,2020,7,2200,-1,,87,Place de la Gare,1020,Renens,46.5351072,6.5795312,2,1,1,2,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 7° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 45,9m2 <br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Salle de bains/WC<br>- Une chambre à coucher de 18.5m2 avec armoires murales<br>- Une deuxième chambre de 12.5m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'200.-<br>- Charges: CHF 250.-<br>- Total: CHF 2'450.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2199,Renens,2.394711781
475,475,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-373912
",373912,"Immobilier
",2020-02-23,août 2020										</span>,2020,3,2350,-1,,101,Place de la Gare,1020,Renens,46.5360064,6.5796794,2,1,1,2,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 3° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 45,7m2<br>- Cuisine ouverte et entièrement agencée avec lave-vaisselle<br>- Salle de bains/WC<br>- Une chambre à coucher de 27.2m2 avec dressing<br>- Une deuxième chambre de 12.6m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'350 .-<br>- Charges: CHF 290.-<br>- Total: CHF 2'640.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2349,Renens,1.13924457
482,482,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-373919
",373919,"Immobilier
",2020-02-23,août 2020										</span>,2020,6,2200,-1,,87,Place de la Gare,1020,Renens,46.5355668,6.5799793,2,0,1,2,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux. <br><br>Ce magnifique appartement de 3.5 pièces se situe au 6° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Salle de bains/WC<br>- Une chambre à coucher de 18.5m2 avec armoires murales<br>- Une deuxième chambre de 12.5m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'200.-<br>- Charges: CHF 250.-<br>- Total: CHF 2'450.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2199,Renens,1.821649292
489,489,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-373926
",373926,"Immobilier
",2020-02-23,août 2020										</span>,2020,5,2100,-1,,89,Place de la Gare,1020,Renens,46.5370147,6.5788061,2,1,1,2,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 5° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 40,4m2<br>- Cuisine ouverte et entièrement agencée avec lave-vaisselle<br>- Salle de bains/WC<br>- Une chambre à coucher de 20.7m2 avec armoires murales<br>- Une deuxième chambre de 23.1m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'100 .-<br>- Charges: CHF 255.-<br>- Total: CHF 2'355.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2099,Renens,0.6881612382
495,495,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-373932
",373932,"Immobilier
",2020-02-23,août 2020										</span>,2020,4,2150,-1,,89,Place de la Gare,1020,Renens,46.5351072,6.5795312,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 4° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 40,4m²<br>- Cuisine ouverte entièrement agencée avec lave-vaisselle<br>- Salle de douche avec douche italienne<br>- Une spacieuse chambre à coucher de 20.7m2 avec armoires murales<br>- Une chambre à coucher de 12,9m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'150 .-<br>- Charges: CHF 255.-<br>- Total: CHF 2'405.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2149,Renens,2.394711781
539,539,Regie Zimmerman: 021 313 23 23,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/zimmermann-immobilier-772/appartement366-376347
",376347,"Immobilier
",2020-02-23,mars 2020										</span>,-1,3,1600,190,1790,66,,,-1,46.524381,6.6190865,2,0,1,1,0,1,0,1,0,0,"<p>Appartement de 3 pièces traversant et entièrement rénové comprenant: 1 salon, 2 chambres à coucher, 1 cuisine agencée et équipée, 1 salle-de-bains, 1 balcon, 1 réduit.<br><br>Les charges mentionnées, ci-dessus, sont composées comme suit :<br>CHF 130.- de charges<br>CHF 60.- de frais accessoires</p>",1790,Vigie,1.458584724
540,540,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/appartement-cachet-376448
",376448,"Immobilier
",2020-02-23,mars 2020										</span>,-1,1,2060,190,2250,80,Rue du Midi 16,1003,Lausanne,46.5184058,6.6332617,2,1,1,0,0,0,1,0,0,0,"<p>Nous vous proposons en location ce splendide logement qui saura vous séduire non seulement par son emplacement idéal mais également par la qualité de ses aménagements intérieurs. Il comprend: <br><br>- Cuisine agencée<br>- 2 Chambres à coucher avec du parquet<br>- Séjour avec du parquet <br>- Armoires murales<br>- Salle de bain<br>- Ascenceur<br>- Cave<br><br>Les commerces et les transports publics, notamment la gare de Lausanne, se trouvent à proximité.<br><br>Avons-nous éveillé votre intérêt ? Nous restons à votre entière disposition pour fixer à votre convenance une visite de l’appartement.</p>",2250,Lausanne-Flon,5.184669344
545,545,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-appartement-3-pieces-coeur-rues-pietonnes-376552
",376552,"Immobilier
",2020-02-23,mai 2020										</span>,1944,4,1800,235,,75,Rue St-Laurent 12,1003,Lausanne,46.5224018,6.631628,2,2,1,3,1,0,1,0,0,0,"<p>Ce logement est situé dans l'hyper centre de Lausanne, proche de toutes les commodités. Il est lumineux et spacieux et possède des pièces de belles dimensions avec parquet.<br><br>Il se compose comme suit :<br><br>- 1 hall/salle à manger,<br>- 1 vaste séjour,<br>- 1 cuisine agencée (four, frigo, cuisinière, four) et fermée,<br>- 2 chambres,<br>- 1 salle de bains/WC/lavabo,<br>- 1 WC séparé,<br>- 1 cave.<br><br>Date de relocation : 01.05.2020 ou à convenir<br>Pour les visites, veuillez nous contacter.<br>L'appartement sera renové (peinture et parquet). <br><br>Votre dossier d'inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l’éventuel garant : <br><br>- Demande d'inscription dûment remplie, datée et signée (à télécharger sur notre site internet)<br>- Copie de vos 3 dernières fiches de salaire<br>- Attestation originale de l’Office des poursuites, datant de moins de 3 mois<br>- Copie de votre pièce d'identité (si nationalité suisse) ou permis de séjour<br><br>Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax ni de mail)<br><br>Seuls les dossiers complets et transmis correctement seront pris en considération.</p>",2035,Lausanne-Flon,4.274749338
572,572,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377309
",377309,"Immobilier
",2020-02-23,août 2020										</span>,2020,5,2100,-1,,90,Place de la Gare,1020,Renens,46.5355648,6.5801392,2,1,1,2,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 5° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 40.1m2 <br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Salle de bains/WC<br>- Une chambre à coucher de 17m2 avec armoires murales<br>- Une deuxième chambre de 16m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'100.-<br>- Charges: CHF 260.-<br>- Total: CHF 2'360.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2099,Renens,1.877594006
573,573,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377310
",377310,"Immobilier
",2020-02-23,août 2020										</span>,2020,5,1900,-1,,81,Place de la Gare,1020,Renens,46.5355668,6.5799793,2,1,1,2,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 5° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 33.5m2<br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Salle de bains/WC<br>- Une chambre à coucher de 16m2 avec armoires murales<br>- Une deuxième chambre de 13,9m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 1'900.-<br>- Charges: CHF 235.-<br>- Total: CHF 2'135.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",1899,Renens,1.821649292
579,579,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377316
",377316,"Immobilier
",2020-02-23,août 2020										</span>,2020,-1,2050,-1,,90,Place de la Gare,1020,Renens,46.5355668,6.5799793,2,1,1,2,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 4° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 40.1m2<br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Salle de bains/WC<br>- Une spacieuse chambre à coucher de 17m2 avec armoires murales<br>- Une deuxième chambre à coucher de 16m2 avec armoires murales<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'050.-<br>- Charges: CHF 260.-<br>- Total: CHF 2'310.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2049,Renens,1.821649292
580,580,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377317
",377317,"Immobilier
",2020-02-23,août 2020										</span>,2020,4,1900,-1,,81,Place de la Gare,1020,Renens,46.5366221,6.5798182,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 4° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 33.5m²<br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Une spacieuse chambre à coucher de 16m2 avec armoires murales<br>- Une spacieuse chambre à coucher de 13.9m2 avec armoires murales<br>- Salle de douche avec douche italienne<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 1'900.-<br>- Charges: CHF 230.-<br>- Total: CHF 2'130.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",1899,Renens,0.4539785396
586,586,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377323
",377323,"Immobilier
",2020-02-23,août 2020										</span>,2020,3,2150,-1,,91,Place de la Gare,1020,Renens,46.5360064,6.5796794,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 3° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 40.6m²<br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Une spacieuse chambre à coucher de 17.4m2 avec armoires murales<br>- Une spacieuse chambre à coucher de 16m2 avec armoires murales<br>- Salle de douche avec douche italienne<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 2'150.-<br>- Charges: CHF 260.-<br>- Total: CHF 2'410.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",2149,Renens,1.13924457
587,587,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377324
",377324,"Immobilier
",2020-02-23,août 2020										</span>,2020,3,1850,-1,,80,Place de la Gare,1020,Renens,46.5351072,6.5795312,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 3° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 33.5m²<br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Une spacieuse chambre à coucher de 16m2 avec armoires murales<br>- Une spacieuse chambre à coucher de 13.7m2 avec armoires murales<br>- Salle de douche avec douche italienne<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 1'850.-<br>- Charges: CHF 230.-<br>- Total: CHF 2'080.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",1849,Renens,2.394711781
593,593,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377330
",377330,"Immobilier
",2020-02-23,août 2020										</span>,2020,7,1750,-1,,69,Place de la Gare,1020,Renens,46.535931,6.5800247,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique studio se situe au 7° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 26,3m²<br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Une spacieuse chambre à coucher de 16m2 avec armoires murales<br>- Une chambre à coucher de 11.6m2<br>- Salle de douche avec douche italienne<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 1'750.-<br>- Charges: CHF 200.-<br>- Total: CHF 1'950.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",1749,Renens,1.354715167
594,594,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377331
",377331,"Immobilier
",2020-02-23,août 2020										</span>,2020,6,1850,-1,,71,Place de la Gare,1020,Renens,46.5355508,6.5796813,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux.<br><br>Ce magnifique appartement de 3.5 pièces se situe au 6° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 27m2 <br>- Cuisine ouverte avec îlot central et entièrement agencée avec lave-vaisselle<br>- Salle de douche avec douche italienne<br>- Une spacieuse chambre à coucher de 23.1m2 avec armoires murales<br>- Une spacieuse chambre à coucher de 23.1m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 1'850.-<br>- Charges: CHF 205.-<br>- Total: CHF 2'055.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",1849,Renens,1.778460284
595,595,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/omnia-immobilier-courtage-1232/renens-avenir-commence-quai-ouest-377332
",377332,"Immobilier
",2020-02-23,août 2020										</span>,2020,7,1950,-1,,71,Place de la Gare,1020,Renens,46.5366082,6.5798014,2,1,1,1,0,0,0,0,1,1,"<p>Nouvelle promotion de 89 logements en location idéalement située à la Gare de Renens, Quai Ouest ouvrira ses bras aux futurs locataires dès l'été 2020 avec plusieurs options de logements, commerces et bureaux. <br><br>Ce magnifique appartement de 3.5 pièces se situe au 7° étage et a été construit avec de très beaux matériaux et se compose comme suit:<br><br>- Spacieux séjour de 27m²<br>- Cuisine ouverte entièrement agencée avec lave-vaisselle<br>- Salle de douche avec douche italienne<br>- Une spacieuse chambre à coucher de 16m2 avec armoires murales<br>- Une spacieuse chambre à coucher de 11.4m2<br>- Stores électriques<br>- Entrée avec armoires murales<br><br>- Loyer net : CHF 1'950.-<br>- Charges: CHF 205.-<br>- Total: CHF 2'155.-<br><br>Adresse: Place de la Gare à 1020 Renens<br><br>Plus d'informations sur www.quai-ouest.ch/location/logements ainsi que chez Omnia Immobilier ou</p>",1949,Renens,0.450709532
617,617,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/pbbg-gerances-gestions-immobilieres-271/louer-centre-ville-lausanne-377842
",377842,"Immobilier
",2020-02-23,mars 2020										</span>,-1,-1,1600,100,1700,76,Rue du Petit-Chêne 17,1003,Lausanne,46.518145,6.6300066,2,0,1,1,1,1,1,0,0,0,"<p>Appartement de 2.5 pièces au 4ème étage à louer pour le 15 mars 2020.<br><br>Ce logement comprend:<br><br>- un hall d'entrée<br>- une cuisine agencée<br>- une salle de bains<br>- 2 chambres à coucher<br>- un balcon<br>- une cave<br><br>La peinture de tout le logement a été refaite cette année.<br><br>Le loyer est de CHF 1'600.- + CHF 100.- de charges par mois<br><br>Pour les visites, nous vous remercions de bien vouloir prendre contact avec la concierge</p>",1700,Lausanne-Flon,3.207472173
618,618,,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/pbbg-gerances-gestions-immobilieres-271/bel-appartement-louer-centre-ville-377843
",377843,"Immobilier
",2020-02-23,juin 2020										</span>,-1,-1,1850,150,,77,Rue du Petit-Chêne 17,1003,Lausanne,46.518145,6.6300066,2,0,1,1,1,1,1,0,0,0,"<p>Appartement de 2.5 pièces au 1er étage à louer pour le 15 juin 2020<br><br>Ce logement comprend:<br><br>- un hall d'entrée<br>- une cuisine agencée<br>- une salle de bains<br>- 2 chambres à coucher<br>- une terrasse sur la cour intérieure de l'immeuble<br>- une cave<br><br>Le loyer est de CHF 1'850.- + CHF 150.- de charges par mois<br><br>Pour les visites, nous vous remercions de bien vouloir prendre contact avec la locataire par email: LNieuwenhuis@nissan-europe.com</p>",2000,Lausanne-Flon,3.207472173
637,637,,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/regie-privee-1300/appartement-35-pieces-1er-etage-379229
",379229,"Immobilier
",2020-02-23,août 2020										</span>,2014,1,1760,90,,77,Chemin du Chêne 2 G,1020,Renens,46.5299228,6.5905935,2,1,1,2,1,1,0,1,0,0,"<p><br> Il se compose comme suit : <br> <br> - un hall<br> - une cuisine agencée ouverte sur le séjour<br> - deux chambres-à-coucher<br> - une salle-de-bains/WC<br> - un réduit<br> - un balcon<br> <br> NE PAS CONTACTER LA LOCATAIRE POUR LES VISITES AVANT LE 24.02.2020, MERCI</p>",1850,Malley,7.315183575
